---max_depth--

nums of train/test set:  111477 27870 111477 27870
use random-forest model:
CVS:  10 0.5935483467271274
CVS:  20 0.641468571167459
CVS:  30 0.6552739811343773
CVS:  40 0.6551753714959747
CVS:  50 0.656242820309523
CVS:  60 0.6564939743642827
CVS:  70 0.6570053412178439
CVS:  80 0.6564223091712331
CVS:  90 0.6567002918216249
CVS:  100 0.6568799005625772
CVS:  110 0.6551485565829009
CVS:  120 0.6574718682437013
CVS:  130 0.6569874562945495
CVS:  140 0.6561799410755829
CVS:  150 0.6569246438418699
CVS:  160 0.6557316602401044
CVS:  170 0.6556598059586799
CVS:  180 0.6572475854040111
CVS:  190 0.6577946842833098
CVS:  200 0.6552471107221505
CSV: None 0.6579292785935847

--min_samples_split--
CVS:  2 0.6769197471006032
CVS:  3 0.6760407670137482
CVS:  4 0.6738340062521484
CVS:  5 0.6718066152804801
CVS:  6 0.6698420946766814
CVS:  7 0.66927683168387
CVS:  8 0.6668997815911283
